review_id,date,customer_plan,company_size,rating,category,title,review_text
R057,2026-01-19,Enterprise,165,1,Complaint,Large project performance is a dealbreaker,"We're an Enterprise customer with 500+ task projects. The 40-second load time is actively hurting our productivity. Evaluating Jira."
R058,2026-01-18,Pro,48,2,Bug Report,Mobile app crashes on file attachment,"Every time I try to attach a photo from my camera roll the app crashes. iPhone 15 Pro iOS 17.3."
R059,2026-01-18,Pro,35,3,Support Issue,Support response time declining,"Used to get support responses within 24 hours. Last 3 tickets took 3-5 days each. What changed?"
R060,2026-01-18,Enterprise,200,4,Feature Request,Gantt chart is promising,"Nice start on the Gantt view. For Enterprise we really need: dependencies milestones and resource allocation. Then it'd replace MS Project."
R061,2026-01-17,Core,20,5,Praise,Best free PM tool,"The Core plan gives us more than most tools' paid plans. List view and Kanban are both excellent."
R062,2026-01-17,Pro,60,2,Bug Report,Duplicate notification nightmare,"Our team of 60 now wastes time reading duplicate notifications to figure out which is the real update. This is a serious productivity drain."
R063,2026-01-17,Pro,42,3,Feature Request,Need board view customization,"Want to customize Kanban columns beyond the default statuses. We use a different workflow than Todo/Doing/Done."
R064,2026-01-16,Enterprise,145,2,Complaint,Enterprise SLA not being met,"Priority support with 4-hour SLA. Our last 5 tickets averaged 18 hours for first response. This is a contract violation."
R065,2026-01-16,Pro,50,4,Praise,GitHub integration works perfectly,"Connected our repos to CloudTask and now PRs automatically update task statuses. Developer team loves it."
R066,2026-01-16,Core,28,3,Support Issue,Help center search is broken,"Searched 'how to invite team members' in help center and got zero results. Had to Google it instead."
R067,2026-01-15,Pro,55,1,Complaint,API v2 broke our entire workflow,"We built our onboarding automation on API v1. The v2 migration broke it and your docs don't cover our use case at all."
R068,2026-01-15,Enterprise,175,3,Feature Request,Need portfolio-level views,"We manage 40+ projects. Need a portfolio dashboard showing status of all projects at once without clicking into each one."
R069,2026-01-15,Pro,38,2,Bug Report,Mobile push notifications stopped,"Haven't received a push notification on the new mobile app in a week. Checked settings and everything is enabled."
R070,2026-01-14,Core,12,4,Praise,Switched from Trello no regrets,"CloudTask's free tier is better than Trello's. More features better UI and faster performance."
R071,2026-01-14,Pro,65,3,Feature Request,AI suggestions should explain reasoning,"The AI suggests task assignments but doesn't tell me WHY. A brief explanation would help me trust its recommendations."
R072,2026-01-14,Enterprise,190,1,Complaint,Performance makes us look unprofessional,"Had to wait 30 seconds for a project to load during a client meeting. Switched to showing a spreadsheet instead. Embarrassing."
R073,2026-01-13,Pro,45,2,Bug Report,Mobile app logout loop,"After the redesign I get logged out of the mobile app every few hours. Have to re-enter credentials constantly."
R074,2026-01-13,Core,22,5,Praise,Reliable and simple,"We don't need bells and whistles. CloudTask does task management right without overcomplicating things."
R075,2026-01-13,Pro,50,3,Support Issue,Waited a week for billing question,"Asked a simple billing question about upgrading seats. Took 7 days for a response. Unacceptable."
R076,2026-01-12,Enterprise,160,2,Bug Report,Duplicate notifications after the fix again,"Your Jan 10 patch was supposed to fix duplicates. It worked for 2 days then they came back worse than before."
R077,2026-01-12,Pro,40,4,Praise,Gantt chart is exactly what we needed,"Our clients always ask for timeline views. The new Gantt chart lets us share beautiful project timelines."
R078,2026-01-12,Pro,55,3,Feature Request,Need custom notification rules,"I want to be notified about high-priority tasks only. Currently it's all or nothing."
R079,2026-01-11,Enterprise,140,2,Complaint,New pricing tiers are confusing,"Tried to add 10 seats and the pricing page shows 3 different rates depending on billing cycle commitment and add-ons. Just tell me the price."
R080,2026-01-11,Core,18,4,Praise,Love the mobile app redesign,"The new mobile app is so much faster than the old one. Fresh design and the swipe actions are intuitive."
R081,2026-01-11,Pro,60,1,Complaint,Performance regression is real,"Our project load times went from 5 seconds to 35 seconds over the past 2 months. Something is seriously wrong on the backend."
R082,2026-01-10,Pro,48,2,Bug Report,Mobile app doesn't show custom fields,"Upgraded to Pro for custom fields but they don't appear in the mobile app at all. Desktop only apparently."
R083,2026-01-10,Enterprise,185,3,Feature Request,Need advanced analytics,"The basic reporting is fine for small teams but we need cohort analysis velocity tracking and predictive completion dates."
R084,2026-01-10,Core,25,5,Praise,Perfect for freelancers too,"I'm a solo consultant managing 8 client projects. CloudTask Core handles it all beautifully."
R085,2026-01-09,Pro,42,2,Bug Report,Lost 2 hours of work on mobile,"Was doing a detailed task breakdown on the mobile app during a flight. Landed and everything was gone. I'm done using mobile for real work."
R086,2026-01-09,Enterprise,170,3,Feature Request,Need SCIM provisioning,"Managing 170 users manually is painful. We need SCIM support for automatic provisioning from Okta."
R087,2026-01-09,Pro,35,4,Praise,AI suggestions getting smarter,"Noticed the AI task suggestions have gotten noticeably better in the last month. Assigned the right person 4 out of 5 times today."
R088,2026-01-08,Pro,65,1,Complaint,API rate limiting is crippling our integration,"Our daily sync pulls 500 tasks. With v2 rate limits we have to spread it over 2 hours. v1 did it in 5 minutes."
R089,2026-01-08,Core,20,3,Support Issue,Can't find how to archive completed projects,"Finished a project and want to archive it not delete it. Can't find the option anywhere. Help docs don't mention it."
R090,2026-01-08,Enterprise,155,2,Bug Report,Notification emails going to spam,"Since the new notification system half our team's CloudTask emails go to spam. The new sending domain isn't whitelisted."
R091,2026-01-07,Pro,50,4,Praise,Google Drive integration is seamless,"Attached a Google Doc to a task and it embedded perfectly. Team can preview without leaving CloudTask."
R092,2026-01-07,Core,15,5,Praise,Just works,"No learning curve no feature overload no nonsense. CloudTask Core is project management done right."
R093,2026-01-07,Enterprise,180,2,Complaint,Enterprise support is not enterprise quality,"Paying $30/user for 180 people. Our dedicated account manager changed 3 times in 6 months. No continuity."
R094,2026-01-06,Pro,55,3,Bug Report,Search results miss recent tasks,"Created a task 10 minutes ago and search can't find it. Seems like there's an indexing delay."
R095,2026-01-06,Pro,40,2,Bug Report,Mobile app freezes on large task lists,"Scrolling through a list of 200+ tasks on the mobile app causes it to freeze for 5-10 seconds."
R096,2026-01-06,Enterprise,145,3,Feature Request,Want conditional custom fields,"Need custom fields that appear based on other field values. Example: if Priority is Critical then show Escalation Contact field."
R097,2026-01-05,Core,22,4,Praise,Clean UI is refreshing,"Coming from Jira which looks like it was designed by committee CloudTask's clean interface is a breath of fresh air."
R098,2026-01-05,Pro,60,1,Complaint,Notification spam is out of control,"Getting 50+ duplicate emails a day from CloudTask. I've had to create a filter to auto-archive them. Defeats the purpose."
R099,2026-01-05,Enterprise,200,2,Bug Report,Performance worse during business hours,"Our 500+ task projects load in 10 seconds at midnight but 45+ seconds during 9-5. Clearly a capacity issue."
R100,2026-01-04,Pro,48,3,Feature Request,Need task templates,"We create similar task sets every sprint. A template feature would save us an hour every two weeks."
R101,2026-01-04,Core,18,5,Praise,Great for remote teams,"Our distributed team across 3 timezones uses CloudTask to stay aligned. The simplicity means everyone's on the same page."
R102,2026-01-04,Pro,35,4,Praise,AI task suggestions are a nice touch,"Not perfect but the AI suggestions save me time on task assignment. Appreciate that you're innovating here."
R103,2026-01-03,Enterprise,165,2,Bug Report,Audit log gaps during notification migration,"Our audit logs have a 4-hour gap from January 2 during what appears to be the notification system migration. Compliance issue."
R104,2026-01-03,Pro,55,3,Feature Request,Need dark mode,"My whole workflow is dark mode except CloudTask. It's blinding at night."
R105,2026-01-03,Pro,42,2,Bug Report,Mobile app shows stale data,"The mobile app regularly shows task statuses that are hours old. Have to pull-to-refresh constantly."
R106,2026-01-02,Enterprise,150,1,Complaint,Performance is driving us to competitors,"We've had 3 department heads ask me to switch tools because of CloudTask's load times. This is urgent."
R107,2026-01-02,Core,25,4,Praise,Kanban view is best in class,"Simple draggable intuitive. CloudTask's Kanban implementation is the best I've used and I've tried a dozen tools."
R108,2026-01-02,Pro,65,3,Support Issue,Support doesn't understand API issues,"Reported an API v2 bug and the support agent clearly didn't understand the technical issue. Got a canned response about clearing my cache."
R109,2026-01-01,Pro,50,2,Bug Report,Mobile offline lost my meeting notes,"Used the mobile app to take meeting notes in task comments while at a site with no wifi. All gone when I reconnected."
R110,2026-01-01,Enterprise,185,3,Feature Request,Need resource management,"Want to see team member workload across projects. Who's overloaded? Who has capacity? Currently impossible."
R111,2025-12-31,Pro,38,4,Praise,Gantt chart fills a huge gap,"We've been manually creating timelines in Google Sheets. The new Gantt chart eliminates that entirely."
R112,2025-12-31,Core,15,5,Praise,Solid reliable tool,"12 months of daily use and CloudTask has never gone down on us. That reliability matters more than fancy features."
R113,2025-12-31,Enterprise,175,2,Complaint,New pricing for added seats is steep,"We're grandfathered on old pricing but every new hire costs 40% more per seat. Makes budget planning difficult."
R114,2025-12-30,Pro,45,3,Bug Report,Gantt chart dates off by one day,"Tasks on the Gantt chart show as starting one day later than their actual start date. Small but annoying."
R115,2025-12-30,Pro,60,2,Bug Report,Duplicate email notifications started,"Just started getting 2 copies of every email notification today. Checked settings and everything looks normal."
R116,2025-12-30,Enterprise,140,3,Feature Request,Need custom dashboards,"The default dashboard doesn't show the metrics our leadership cares about. Need drag-and-drop dashboard builder."
R117,2025-12-29,Core,20,4,Praise,File attachments work perfectly,"Easy to attach screenshots mockups and docs to tasks. Simple feature but it works flawlessly."
R118,2025-12-29,Pro,55,1,Complaint,API v1 deprecation timeline was too short,"30 days to migrate complex integrations? Our team needed 90 minimum. Now we're scrambling during the holidays."
R119,2025-12-29,Pro,40,3,Feature Request,AI should suggest due dates,"The AI suggests assignees but not due dates. Based on similar past tasks it should be able to estimate timelines."
R120,2025-12-28,Enterprise,190,2,Bug Report,Mobile app crashes on Enterprise SSO login,"SSO users can't use the new mobile app reliably. Crashes during SAML redirect about 50% of the time."
R121,2025-12-28,Core,28,5,Praise,Our whole agency loves it,"30-person agency managing 20+ client projects. CloudTask keeps everyone organized without the complexity of enterprise tools."
R122,2025-12-28,Pro,48,3,Support Issue,Support escalation process unclear,"Asked for my ticket to be escalated and was told there's no formal escalation process. At Pro pricing there should be."
R123,2025-12-27,Pro,65,2,Bug Report,Mobile app navigation confusing after redesign,"The new mobile layout moved everything around. Settings are buried 3 levels deep. Old version was more intuitive."
R124,2025-12-27,Enterprise,160,3,Feature Request,Need webhook reliability improvements,"Our webhooks from API v2 fail silently about 10% of the time. Need retry logic and delivery confirmations."
R125,2025-12-27,Core,12,4,Praise,Minimal but powerful,"CloudTask proves you don't need 500 features to be a great PM tool. Every feature it has works well."
R126,2025-12-26,Pro,50,2,Bug Report,Mobile app won't load images in comments,"Images attached to task comments show as broken icons in the mobile app. Have to switch to desktop to see them."
R127,2025-12-26,Enterprise,145,1,Complaint,Performance SLA violations,"Loading a 400-task project takes 35 seconds consistently. Our Enterprise SLA guarantees sub-5-second page loads."
R128,2025-12-26,Pro,35,4,Praise,AI task suggestions save time,"Used AI suggestions for sprint planning this week. Saved about 30 minutes of manual assignment work."
R129,2025-12-25,Core,22,3,Support Issue,Holiday support response missing,"Submitted a ticket on Dec 23 and still no response. Understand holidays but a 48-hour auto-response would help."
R130,2025-12-25,Pro,55,3,Feature Request,Need Slack two-way sync,"Can push CloudTask updates to Slack but can't create tasks from Slack messages. Need two-way integration."
R131,2025-12-24,Pro,42,2,Bug Report,Mobile app deleted my task accidentally,"Swiped to dismiss a notification and it deleted a task instead. The swipe gesture zones are too close together."
R132,2025-12-24,Enterprise,180,2,Complaint,Notification migration was poorly communicated,"Found out about the notification system change from the duplicate emails not from any announcement. Where was the changelog?"
R133,2025-12-24,Core,18,5,Praise,Great first impression,"Signed up yesterday and already have our team's projects set up. Fastest onboarding experience ever."
R134,2025-12-23,Pro,60,3,Feature Request,Need Sprint/iteration support,"We run 2-week sprints. Need a proper sprint container that auto-rolls incomplete items to the next sprint."
R135,2025-12-23,Enterprise,155,2,Bug Report,Duplicate notifications on task creation,"Creating a new task sends 2 email notifications to every watcher. Just the creation event not updates."
R136,2025-12-23,Pro,40,4,Praise,Gantt chart view is beautiful,"Showed the Gantt chart to our CEO and she was impressed. First time she's been excited about a PM tool."
R137,2025-12-22,Core,25,3,Support Issue,Can't bulk import tasks,"Trying to import 200 tasks from a CSV. No bulk import feature. Support said to use the API which I don't have on Core."
R138,2025-12-22,Pro,55,2,Bug Report,Mobile app loses position when switching apps,"Switch to check email and come back to CloudTask mobile and it reloads from the top of my task list. Loses scroll position every time."
R139,2025-12-22,Enterprise,170,3,Feature Request,Need time-in-status reporting,"Want to know how long tasks sit in each status. Average time in Review is killing our velocity but I can't prove it."
R140,2025-12-21,Pro,48,1,Complaint,Three months of performance issues,"We've reported slow loading 3 times. Each time told 'we're working on it.' It's been 3 months. Are you actually working on it?"
R141,2025-12-21,Core,15,4,Praise,Beautiful design,"CloudTask is the best-designed PM tool on the market. Clean modern and a pleasure to use daily."
R142,2025-12-21,Pro,65,3,Feature Request,AI should predict task blockers,"The AI suggests assignments but could it predict which tasks are likely to get blocked? That would be genuinely useful."
R143,2025-12-20,Enterprise,200,2,Bug Report,Performance degrades throughout the day,"Fresh in the morning at 8 AM loads are fast. By 2 PM the same projects take 4x longer. Server capacity issue."
R144,2025-12-20,Pro,38,4,Praise,Worth every penny,"Upgraded from Core to Pro and the integrations alone justified the cost. Slack and GitHub integration are excellent."
R145,2025-12-20,Pro,50,2,Bug Report,Mobile app task creation missing fields,"Creating a task on mobile only lets me set title and assignee. No priority no due date no labels. Have to finish on desktop."
R146,2025-12-19,Enterprise,165,3,Feature Request,Need approval workflows,"Tasks that need manager sign-off have no formal approval mechanism. We're using comments which is messy."
R147,2025-12-19,Core,20,5,Praise,Replaced our whiteboard,"We used to have a physical Kanban board. CloudTask's digital version is better in every way and our remote team can see it."
R148,2025-12-19,Pro,55,2,Bug Report,Duplicate notifications triggered by comments,"Every comment on a watched task sends 2 email notifications. With an active discussion thread I got 24 emails for 12 comments."
R149,2025-12-18,Pro,42,3,Feature Request,Need board-level WIP limits,"We practice Kanban and need WIP limits per column. Without them our In Progress column overflows constantly."
R150,2025-12-18,Enterprise,150,1,Complaint,Enterprise performance is a joke,"Pay the highest tier and get the worst performance because we have the most tasks. How does that make sense?"
R151,2025-12-18,Pro,35,4,Praise,AI suggestions surprised me,"The AI correctly identified that our QA tasks should go to Jamie based on past patterns. Didn't expect it to be that smart."
R152,2025-12-17,Core,22,3,Support Issue,FAQ doesn't answer my question,"Tried to find info about storage limits on Core. FAQ doesn't mention it. Had to email support for a basic pricing page question."
R153,2025-12-17,Pro,60,2,Bug Report,Mobile app widget stopped updating,"The iOS home screen widget showing my tasks stopped updating after the app redesign. Shows tasks from 2 weeks ago."
R154,2025-12-17,Enterprise,185,3,Feature Request,Need cross-project dependencies,"We manage related projects and need task dependencies ACROSS projects not just within one project."
R155,2025-12-16,Pro,45,4,Praise,Gantt chart is my new favorite view,"As a PM the Gantt chart gives me exactly the visibility I need. Clean implementation even if dependencies are missing."
R156,2025-12-16,Core,18,5,Praise,Set it and forget it,"No maintenance no learning curve no headaches. CloudTask just works month after month."
R157,2025-12-16,Enterprise,140,2,Complaint,Price increase announcement was buried,"Found out about the pricing change from my billing team not from CloudTask. A direct email to account owners would have been professional."
R158,2025-12-15,Pro,55,3,Bug Report,Time tracking doesn't pause when switching tasks,"If I'm tracking time on Task A and switch to Task B it doesn't auto-pause A. End up with inflated hours."
R159,2025-12-15,Pro,40,2,Bug Report,Mobile offline changes conflict on sync,"Made changes offline and a colleague made changes online. When I synced the app overwrote their changes without any merge prompt."
R160,2025-12-15,Enterprise,175,3,Feature Request,Need API v2 batch operations,"API v2 has no batch endpoint. To update 50 tasks I need 50 individual API calls. v1 had batch support."
R161,2025-12-14,Core,25,4,Praise,Better than Monday.com for small teams,"We tried Monday.com and it was overkill. CloudTask gives us what we actually use at a fraction of the price."
R162,2025-12-14,Pro,65,1,Complaint,API v1 sunset killed our automation,"Our CI/CD pipeline used API v1 to create deployment tasks. Pipeline has been broken for a week. Nobody on your support team understands our use case."
R163,2025-12-14,Pro,48,3,Feature Request,Need email-to-task conversion,"Clients email us requests constantly. A forward-to-CloudTask email address that creates tasks would save hours weekly."
R164,2025-12-13,Enterprise,190,2,Bug Report,Mobile SSO redirect broken on Android,"SSO login on Android mobile app fails with a white screen after SAML redirect. Works fine on iOS."
R165,2025-12-13,Core,12,5,Praise,Can't believe this is free,"CloudTask Core has features that competitors charge $10/user for. Amazing value."
R166,2025-12-13,Pro,50,3,Support Issue,Support agent gave wrong information,"Was told custom fields could be used in automation rules. Spent an hour setting it up only to find out it's not supported."
R167,2025-12-12,Pro,55,2,Bug Report,Mobile app background refresh fails,"The app doesn't refresh data in the background. Every time I open it I see stale data and have to manually refresh."
R168,2025-12-12,Enterprise,160,3,Feature Request,Need role-based home dashboards,"Engineers and PMs need different default views. Currently everyone sees the same dashboard regardless of role."
R169,2025-12-12,Core,20,4,Praise,Task management done right,"Simple task creation good due date handling clear priority system. The basics done exceptionally well."
R170,2025-12-11,Pro,42,2,Bug Report,Duplicate notification for status changes,"Changed a task from In Progress to Done. Got 2 emails: one for the status change and one identical duplicate."
R171,2025-12-11,Enterprise,145,1,Complaint,Performance has been degrading for months,"I've tracked load times for our main project: Oct 8s Nov 15s Dec 30s. Clear regression that's being ignored."
R172,2025-12-11,Pro,35,4,Praise,AI suggestions learning from our patterns,"After 2 months the AI suggestions are noticeably better. It's actually learning which developers handle which types of tasks."
R173,2025-12-10,Core,28,3,Support Issue,No phone support option,"Had an urgent issue and could only submit a ticket. For time-sensitive problems email support doesn't cut it."
R174,2025-12-10,Pro,60,3,Feature Request,Need form submissions for task creation,"Want external stakeholders to submit requests via a form that auto-creates tasks. Like Jira's request portal."
R175,2025-12-10,Enterprise,180,2,Bug Report,Notification digest includes completed tasks,"The daily digest email includes tasks I already completed. Makes it useless because I have to mentally filter out old items."
R176,2025-12-09,Pro,45,4,Praise,Gantt view for client presentations,"Used the Gantt chart in a client meeting and they loved the visual timeline. Professional and clean."
R177,2025-12-09,Core,15,5,Praise,Zero complaints from the team,"Rolled out CloudTask 4 months ago. Not a single complaint from any team member. That's never happened with a new tool."
R178,2025-12-09,Enterprise,155,3,Feature Request,Need SLA tracking per task,"We have SLA commitments to clients. Need a field that tracks time-to-resolution against an SLA target."
R179,2025-12-08,Pro,55,2,Bug Report,Mobile push notifications delayed by hours,"Get push notifications 2-3 hours after the actual event. By then I've already seen it on desktop."
R180,2025-12-08,Pro,40,3,Feature Request,AI should suggest task priorities,"AI suggests assignees but not priorities. Based on project deadlines and dependencies it should help prioritize."
R181,2025-12-08,Enterprise,170,2,Complaint,Pricing transparency needs work,"Enterprise pricing page says 'contact sales' but our sales rep took 2 weeks to respond with a quote. Just publish the price."
R182,2025-12-07,Core,22,4,Praise,Great mobile experience now,"The redesigned mobile app is fast and clean. Checking tasks on the go is finally a good experience."
R183,2025-12-07,Pro,65,1,Complaint,API v2 changes broke 3 of our integrations,"GitHub integration custom Slack bot and reporting dashboard all broke when you deprecated v1. This is unacceptable."
R184,2025-12-07,Pro,48,3,Feature Request,Need calendar view,"Kanban list and Gantt are great but I also need a calendar view to see tasks by due date. Basic feature that's missing."
R185,2025-12-06,Enterprise,200,2,Bug Report,Performance during peak hours is terrible,"Between 10 AM and 2 PM ET our large projects are nearly unusable. Off-hours performance is fine."
R186,2025-12-06,Core,18,5,Praise,Recommended to 3 other teams,"Love CloudTask so much I've recommended it to 3 other teams in our company. They all signed up."
R187,2025-12-06,Pro,38,3,Support Issue,Support tier confusion,"Opened a ticket as Pro user and got a Core-level response template. Doesn't feel like my Pro subscription matters."
